price,priceh,product,desc
"33,730","39,998",ASUS G701VIK-GB043T,
"4,288",,AccessPoint 最新強勁AMD RYZEN 1600 6核心+GEFORCE GTX1050 2G I7級數極速打機組合,"((AMD RYZEN 1600 6核心,I7級數,最新DDR4 RAM,GEFORCE GTX1050 +120G SSD!!!))"
,,,
"5,289","5,450",GIGABYTE GV-N1080XTREME-8GD Premium pack,"(GeForce GTX 1080 Xtreme Gaming Premium Pack 8G, 16.8M色可客製化全彩RGB燈光)"
"5,880",,AccessPoint 最新AMD RYZEN 1700 8核心16線+GEFORCE GTX1050TI I7級數極速打機組合,"(AMD RYZEN 1700 8核心,I7級數+GEFORCE GTX1050TI 4G+120G SSD!!!)"
"6,188",,AccessPoint 第7代全新INTEL Kaby Lake CORE I7-7700 DDR4 RAM+120G SSD完整極速打機組合!!!,((INTEL Kaby Lake CORE I7-7700+120G SSD+GEFORCE GTX 1060))
"17,160",,MSI GS70 2PE,(Killer DoubleShot Gaming Lan)
"2,988",,AccessPoint 升級超強勁GEFORCE GTX1050+INTEL J1900 4核心CPU鬥陣特攻全套完整極速打機組合,(GEFORCE GTX1050+INTEL J1900 4核心CPU+鬥陣特攻全套完整極速打機組合)
"6,250","6,399",MSI GeForce GTX 1080 Ti GAMING X TRIO,"(11GB, 3 x award-winning TORX 2.0 Fans with Double Ball Bearings)"
"4,480",,EVGA GeForce GTX 1080 FTW2 GAMING,"(08G-P4-6686-KR, 8GB GDDR5X, iCX - 9 Thermal Sensors & RGB LED G/P/M)"
"4,880",,AccessPoint 全新第8代Coffeelake INTEL CORE I5-8400 六核心DDR4 RAM +GTX 1050+SSD極速打機組合,"((INTEL Coffeelake CORE I5-8400+GEFORCE GTX1050+DDR4 RAM,SSD))"
"8,399",,AccessPoint 全新第8代Coffeelake INTEL CORE I7-8700 DDR4 RAM +GTX 1070極速打機組合,(INTEL Coffeelake CORE I7-8700+GEFORCE GTX1070+DDR4 RAM)
"5,630","5,860",MSI GEFORCE GTX 1080 TI GAMING X 11G,
,,,
"3,599","3,700",Galax GeForce GTX 1070 Ti EX,"(Dual 100mm Cooling Fan, 8GB GDDR5 256-bit DP*3/HDMI/DVI-D)"
"6,090","6,150",Zotac GeForce GTX 1080 Ti AMP Extreme Core Edition,(ZT-P10810F-10P)
"4,360","4,695",MSI GeForce GTX 1080 GAMING X 8G,(THE ULTIMATE GRAPHICS FOR VIRTUAL REALITY)
"4,060","4,890",Zotac GeForce GTX 1080 Mini,(ZT-P10800H-10P)
"6,290","6,505",Zotac GeForce GTX 1080 Ti AMP Extreme,
,,,
"5,399",,FORSA GTX 1080 Ti Founders Edition,
"7,999",,MSI GeForce GTX 1080Ti LIGHTNING Z,
"3,999",,Colorful Geforce GTX 1080 X-TOP-8G,(RBG LED)
"4,699","4,805",MSI GeForce GTX 1080 GAMING X+ 8G,(TWIN FROZR VI)
"5,870","6,100",Inno3D ICHILL GEFORCE GTX 1080 TI X4 ULTRA,
"4,350",,AccessPoint 最新AMD RYZEN 1400 4核心8線+GEFORCE GTX1050TI 4G I5級數極速打機組合,"(AMD RYZEN 1400 4核心,I5級數+GEFORCE GTX1050TI 4G+120G SSD!!!)"
"3,599",,AccessPoint 最新暑假升級AMD RYZEN 1300 4核心+GEFORCE GTX1050 4G I5級數極速打機組合,"(AMD RYZEN 1300 4核心,I5級數+GEFORCE GTX1050 +120G SSD!!!))"
"6,899",,HP Pavilion 15-ab502TX,"(1920 x 1080, 502TX 銀色 / 298TX 白色 / 299TX 藍色 / 501TX 粉紅色)"
"25,470",,Lenovo ideacentre Y900 RE-34ISZ-90FK001XHH,
"2,990",,AccessPoint 升級超強勁GEFORCE GTX1050+INTEL  Haswell T系I5 4590T CPU+鬥陣特攻全套完整極速打機組合 ,(升級超強勁GEFORCE GTX1050+INTEL  Haswell T系I5 4590T CPU+鬥陣特攻全套完整極速打機組合 )
,,,
"2,880",,AccessPoint 聖誕升級極速!GEFORCE GTX1050+INTEL CORE I5 CPU+鬥陣特攻全套完整極速打機組合,(GEFORCE GTX1050 2G +INTEL CORE I5 CPU+120G SSD!! ))
"28,990",,MSI GT70 2PE,(Killer DoubleShot Gaming Lan)
"4,990",,AccessPoint 最新AMD RYZEN 1700 8核心16線+GEFORCE GTX750TI I7級數極速打機組合,"(AMD RYZEN 1700 8核心16線,I7級數+DDR4 RAM+GEFORCE GTX750TI)"
"12,080",,MSI GE60 2PE,
"19,990",,MSI GT60 2PC,
,,,
"20,880",,MSI GT70 2PC,(Killer DoubleShot Gaming Lan)
,,SE Computer EVGA 超弩級打機組合,(不含LCD顯示器)
"32,999",,Dell ALW17C-D4780Q,
"4,599","5,399",EVGA GeForce GTX 1080 FTW DT GAMING,"(08G-P4-6284-KR, 8GB GDDR5X, ACX 3.0 & RGB LED)"
